skeleton	fscore	ions
Lapidilectine.Lunduran	0.7143	169.065_frag|214.045_frag|146.0599_frag|129.0667_frag|128.0559_frag|144.0774_frag|115.0535_frag
Lapidilectine.Lunduran	0.7143	184.085_nl|223.085_nl|214.045_frag|146.0599_frag|129.0667_frag|128.0559_frag|144.0774_frag|115.0535_frag
Lapidilectine.Lunduran	0.7143	241.095_nl|223.085_nl|214.045_frag|146.0599_frag|129.0667_frag|128.0559_frag|144.0774_frag|115.0535_frag
Lapidilectine.Lunduran	0.7143	223.085_nl|108.046_frag|199.085_nl|146.0599_frag|129.0667_frag|128.0559_frag|144.0774_frag|115.0535_frag
Lapidilectine.Lunduran	0.7143	274.105_frag|108.046_frag|199.085_nl|146.0599_frag|129.0667_frag|128.0559_frag|144.0774_frag|115.0535_frag
Lapidilectine.Lunduran	0.7143	274.105_frag|169.065_frag|214.045_frag|146.0599_frag|129.0667_frag|128.0559_frag|144.0774_frag|115.0535_frag
Lapidilectine.Lunduran	0.7143	184.085_nl|223.085_nl|274.105_frag|214.045_frag|146.0599_frag|129.0667_frag|128.0559_frag|144.0774_frag|115.0535_frag
Lapidilectine.Lunduran	0.7143	184.085_nl|223.085_nl|169.065_frag|214.045_frag|146.0599_frag|129.0667_frag|128.0559_frag|144.0774_frag|115.0535_frag
Lapidilectine.Lunduran	0.7143	241.095_nl|223.085_nl|274.105_frag|214.045_frag|146.0599_frag|129.0667_frag|128.0559_frag|144.0774_frag|115.0535_frag
Lapidilectine.Lunduran	0.7143	241.095_nl|223.085_nl|169.065_frag|214.045_frag|146.0599_frag|129.0667_frag|128.0559_frag|144.0774_frag|115.0535_frag
